IDX,District,Date,Confirmed,Recovered,Active,Death,absconded
702,ALP,16-06-2020,7,5,109,0,
703,TSR,16-06-2020,7,3,162,0,
704,PKD,16-06-2020,6,9,152,0,
705,PTA,16-06-2020,6,4,106,0,
706,TVM,16-06-2020,4,14,39,0,
707,KTM,16-06-2020,4,3,56,0,
708,KKD,16-06-2020,4,0,97,0,
709,KLM,16-06-2020,4,1,94,0,
710,KGD,16-06-2020,2,8,109,0,
711,WYD,16-06-2020,0,5,17,0,
712,ALP,17-06-2020,1,16,94,0,
713,EKM,17-06-2020,5,2,84,0,
714,KGD,17-06-2020,9,0,118,0,
715,KKD,17-06-2020,6,14,89,0,
716,KLM,17-06-2020,14,4,104,0,
717,KNR,17-06-2020,4,1,119,0,
718,KTM,17-06-2020,4,3,57,0,
719,MPM,17-06-2020,11,0,212,0,
720,PKD,17-06-2020,6,24,134,0,
721,PTA,17-06-2020,1,5,102,0,
722,TSR,17-06-2020,8,11,159,0,
723,TVM,17-06-2020,3,10,32,0,
724,WYD,17-06-2020,3,0,20,0,
725,ALP,18-06-2020,9,10,93,0,
726,EKM,18-06-2020,6,4,87,0,
727,IDK,18-06-2020,6,0,35,0,
728,KGD,18-06-2020,3,11,110,0,
729,KKD,18-06-2020,5,1,93,0,
730,KLM,18-06-2020,13,8,109,0,
731,KNR,18-06-2020,4,4,117,1,
732,KTM,18-06-2020,11,2,66,0,
733,MPM,18-06-2020,4,2,214,0,
734,PKD,18-06-2020,14,11,137,0,
735,PTA,18-06-2020,11,3,110,0,
736,TSR,18-06-2020,6,22,143,0,
737,TVM,18-06-2020,5,9,28,0,
738,WYD,18-06-2020,0,2,18,0,
739,ALP,19-06-2020,13,4,102,0,
740,EKM,19-06-2020,11,0,98,0,
741,IDK,19-06-2020,2,0,37,0,
742,KGD,19-06-2020,4,4,110,0,
743,KKD,19-06-2020,6,3,96,0,
744,KLM,19-06-2020,17,14,112,0,
745,KNR,19-06-2020,8,20,105,0,
746,KTM,19-06-2020,7,6,67,0,
747,MPM,19-06-2020,18,15,217,0,
748,PKD,19-06-2020,10,13,134,0,
749,PTA,19-06-2020,9,0,119,0,
750,TSR,19-06-2020,1,13,131,0,
751,TVM,19-06-2020,8,4,32,0,
752,WYD,19-06-2020,4,0,22,0,
753,ALP,20-06-2020,4,12,94,0,
754,EKM,20-06-2020,3,1,100,0,
755,IDK,20-06-2020,1,0,38,0,
756,KGD,20-06-2020,7,2,115,0,
757,KKD,20-06-2020,12,11,97,0,
758,KLM,20-06-2020,24,2,134,0,
759,KNR,20-06-2020,4,2,107,0,
760,KTM,20-06-2020,11,0,78,0,
761,MPM,20-06-2020,5,1,221,0,
762,PKD,20-06-2020,23,10,147,0,
763,PTA,20-06-2020,17,12,124,0,
764,TSR,20-06-2020,6,0,137,0,
765,TVM,20-06-2020,5,2,35,0,
766,WYD,20-06-2020,5,2,25,0,
767,ALP,21-06-2020,10,10,94,0,
768,EKM,21-06-2020,5,0,105,0,
769,IDK,21-06-2020,11,0,49,0,
770,KGD,21-06-2020,6,2,119,0,
771,KKD,21-06-2020,10,4,103,0,
772,KLM,21-06-2020,13,0,147,0,
773,KNR,21-06-2020,10,3,114,0,
774,KTM,21-06-2020,10,3,85,0,
775,MPM,21-06-2020,10,28,203,0,
776,PKD,21-06-2020,15,1,161,0,
777,PTA,21-06-2020,8,4,128,0,
778,TSR,21-06-2020,16,38,115,0,
779,TVM,21-06-2020,9,0,44,0,
780,WYD,21-06-2020,0,0,25,0,
781,ALP,22-06-2020,12,1,105,0,
782,EKM,22-06-2020,14,9,110,0,
783,IDK,22-06-2020,4,2,51,0,
784,KGD,22-06-2020,9,9,119,0,
785,KKD,22-06-2020,5,8,100,0,
786,KLM,22-06-2020,13,0,160,0,
787,KNR,22-06-2020,3,14,103,0,
788,KTM,22-06-2020,13,4,94,0,
789,MPM,22-06-2020,17,23,197,0,
790,PKD,22-06-2020,16,12,165,0,
791,PTA,22-06-2020,4,0,132,0,
792,TSR,22-06-2020,12,6,121,0,
793,TVM,22-06-2020,11,0,55,0,
794,WYD,22-06-2020,5,0,30,0,
795,ALP,23-06-2020,19,0,124,0,
796,EKM,23-06-2020,13,6,117,0,
797,IDK,23-06-2020,0,0,51,0,
798,KGD,23-06-2020,0,0,119,0,
799,KKD,23-06-2020,6,0,106,0,
800,KLM,23-06-2020,4,4,159,1,
801,KNR,23-06-2020,6,1,108,0,
802,KTM,23-06-2020,8,12,90,0,
803,MPM,23-06-2020,11,15,193,0,
804,PKD,23-06-2020,27,0,192,0,
805,PTA,23-06-2020,27,6,153,0,
806,TSR,23-06-2020,14,10,125,0,
807,TVM,23-06-2020,4,3,56,0,
808,WYD,23-06-2020,2,3,29,0,
809,ALP,30-06-2020,9,0,137,0
